Date,AI_Revenue_USD_Mn
2022-04-07,107.69
2022-04-08,108.14
2022-04-09,108.08
2022-04-10,107.21
2022-04-11,107.06
2022-04-12,108.3
2022-04-13,107.47
2022-04-14,106.74
2022-04-15,107.32
2022-04-16,107.59
2022-04-17,107.03
2022-04-18,107.38
2022-04-19,107.21
2022-04-20,108
2022-04-21,108.12
2022-04-22,108.17
2022-04-23,107.39
2022-04-24,107.95
2022-04-25,107.45
2022-04-26,107.88
2022-04-27,106.93
2022-04-28,107.18
2022-04-29,106.23
2022-04-30,108.51
2022-05-01,108.08
2022-05-02,108.17
2022-05-03,107.61
2022-05-04,107.24
2022-05-05,108.11
2022-05-06,107.41
2022-05-07,108.19
2022-05-08,106.76
2022-05-09,107.16
2022-05-10,107.72
2022-05-11,107.53
2022-05-12,108.03
2022-05-13,106.94
2022-05-14,107
2022-05-15,108.43
2022-05-16,107.79
2022-05-17,106.6
2022-05-18,107.38
2022-05-19,107.7
2022-05-20,107.68
2022-05-21,107.63
2022-05-22,107.56
2022-05-23,107.66
2022-05-24,107.76
2022-05-25,107.45
2022-05-26,107.21
2022-05-27,107.33
2022-05-28,106.95
2022-05-29,107.66
2022-05-30,107.07
2022-05-31,107.17
2022-06-01,106.49
2022-06-02,107.58
2022-06-03,107.91
2022-06-04,107.7
2022-06-05,107.38
2022-06-06,107.42
2022-06-07,107.27
2022-06-08,107.17
2022-06-09,108.08
2022-06-10,107.1
2022-06-11,107.19
2022-06-12,108.02
2022-06-13,107.78
2022-06-14,107.53
2022-06-15,108.16
2022-06-16,107.27
2022-06-17,107.77
2022-06-18,108.29
2022-06-19,108.18
2022-06-20,108
2022-06-21,107.35
2022-06-22,107.63
2022-06-23,107.1
2022-06-24,108.37
2022-06-25,108.63
2022-06-26,108.01
2022-06-27,108.19
2022-06-28,107.96
2022-06-29,107.5
2022-06-30,108.15
2022-07-01,107.63
2022-07-02,108.12
2022-07-03,107.62
2022-07-04,106.96
2022-07-05,107.81
2022-07-06,107.13
2022-07-07,107.52
2022-07-08,107.07
2022-07-09,107.4
2022-07-10,107.06
2022-07-11,108.23
2022-07-12,107.23
2022-07-13,107.15
2022-07-14,107.06
2022-07-15,108.32
2022-07-16,107.68
2022-07-17,108.11
2022-07-18,107
2022-07-19,107.74
2022-07-20,107.84
2022-07-21,107.63
2022-07-22,108.03
2022-07-23,107.68
2022-07-24,107.15
2022-07-25,107.28
2022-07-26,107.36
2022-07-27,106.86
2022-07-28,107.19
2022-07-29,107.63
2022-07-30,107.04
2022-07-31,107.16
2022-08-01,107.24
2022-08-02,107.41
2022-08-03,107.13
2022-08-04,106.69
2022-08-05,107.43
2022-08-06,107.07
2022-08-07,107.31
2022-08-08,107.42
2022-08-09,107.34
2022-08-10,107.49
2022-08-11,107.69
2022-08-12,107.75
2022-08-13,107.21
2022-08-14,107.4
2022-08-15,106.61
2022-08-16,107.7
2022-08-17,107.69
2022-08-18,107.31
2022-08-19,107.5
2022-08-20,108.34
2022-08-21,107.69
2022-08-22,107.43
2022-08-23,106.76
2022-08-24,108.31
2022-08-25,108.34
2022-08-26,107.49
2022-08-27,107.99
2022-08-28,107.27
2022-08-29,106.69
2022-08-30,107.43
2022-08-31,106.8
2022-09-01,108
2022-09-02,107.29
2022-09-03,107.48
2022-09-04,107.27
2022-09-05,107.12
2022-09-06,108.33
2022-09-07,107.34
2022-09-08,107.52
2022-09-09,107.38
2022-09-10,107.08
2022-09-11,108.2
2022-09-12,106.77
2022-09-13,107.43
2022-09-14,107.74
2022-09-15,107.31
2022-09-16,106.72
2022-09-17,107.72
2022-09-18,107.8
2022-09-19,106.72
2022-09-20,108.5
2022-09-21,107.42
2022-09-22,107.12
2022-09-23,106.99
